72,72,74,5
69,90,88,3
90,95,93,6
47,57,44,4
76,78,75,3
71,83,78,4
88,95,92,3
40,43,39,3
64,64,67,2
38,60,50,2
58,54,52,4
40,52,43,4
65,81,73,2
78,72,70,3
50,53,58,6
69,75,75,1
88,89,89,2
18,32,94,1
46,42,45,6
54,58,76,4
66,69,79,2
65,75,93,3
44,54,40,3
69,73,68,1
74,71,51,5
73,74,53,6
69,54,44,3
67,69,74,5
70,70,71,2
62,70,75,6
69,74,74,3
63,65,61,3
56,72,65,6
40,42,38,3
97,87,82,3
81,81,79,4
74,81,83,4
50,64,59,1
75,90,88,4
57,56,57,4
55,61,54,4
58,73,68,4
53,58,65,4
59,65,66,3
50,56,54,4
65,54,57,4
55,65,62,4
66,71,76,2
57,74,76,4
82,84,82,2
53,55,48,3
77,69,68,4
53,44,42,3
88,78,75,2
71,84,87,1
33,41,43,2
82,85,86,4
52,55,49,4
58,59,58,3
0,17,10,1
79,74,72,5
39,39,34,1
62,61,55,4
69,80,71,4
59,58,59,1
67,64,61,1
45,37,37,1
60,72,74,3
61,58,56,4
39,64,57,4
58,63,73,3
63,55,63,3
41,51,48,4
61,57,56,1
49,49,41,1
44,41,38,4
30,26,22,1
80,78,81,5
61,74,72,1
62,68,68,6
47,49,50,4
49,45,45,2
50,47,54,3
72,64,63,4
42,39,34,2
73,80,82,3
76,83,88,3
71,71,74,4
58,70,67,3
73,86,82,1
65,72,74,5
27,34,36,2
71,79,71,2
43,45,50,4
79,86,92,3
78,81,82,4
65,66,62,1
63,72,70,3
58,67,62,3
65,67,62,5
79,67,67,3
68,74,74,5
85,91,89,4
60,44,47,2
98,86,90,3
58,67,72,3
87,100,100,6
66,63,64,4
52,76,70,4
70,64,72,1
77,89,98,4
62,55,49,2
54,53,47,4
51,58,54,3
99,100,100,5
84,77,74,2
75,85,82,5
78,82,79,5
51,63,61,1
55,69,65,3
79,92,89,5
91,89,92,4
88,93,93,3
63,57,56,2
83,80,73,3
87,95,86,2
72,68,67,1
65,77,74,3
82,82,74,6
51,49,51,5
89,84,82,6
53,37,40,1
87,74,70,3
75,81,84,3
74,79,75,5
58,55,48,5
51,54,41,1
70,55,56,2
59,66,67,4
71,61,69,3
76,72,71,1
59,62,64,3
42,55,54,3
57,43,47,2
88,73,78,3
22,39,33,3
88,84,75,1
73,68,66,4
68,75,81,5
100,100,93,4
62,67,69,1
77,67,68,5
59,70,66,4
54,49,47,5
62,67,61,1
70,89,88,3
66,74,78,2
60,60,60,3
61,86,87,4
66,62,64,4
82,78,74,4
75,88,85,3
49,53,52,6
52,53,49,2
81,92,91,6
96,100,100,5
53,51,51,2
58,76,78,6
68,83,78,2
67,75,70,3
72,73,74,2
94,88,78,1
79,86,81,3
63,67,70,4
43,51,54,5
81,91,87,6
46,54,58,2
